caseid,age,feelings_life,own_rent,hh_type,hh_size,self_rated_health,self_rated_mental_health,lives_with_partner,children_in_household
37,29.6,7,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),3,Very good,Very good,No,No child
38,74.9,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
39,18.6,5,"Owned by you or a member of this household, even if it i...",Other,4,Excellent,Very good,No,One child
40,54.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,Yes,No child
41,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
42,37,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,Yes,One child
43,27.3,8,"Rented, even if no cash rent is paid",Other,2,Good,Good,No,One child
44,68.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,Two children
45,53.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Fair,Yes,No child
46,63.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
47,34.5,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,One child
48,36.2,8,"Owned by you or a member of this household, even if it i...",Other,4,Fair,Good,Yes,Two children
49,80,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,"NA",No,No child
50,69.4,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Very good,No,No child
51,26.8,8,"Owned by you or a member of this household, even if it i...",Other,4,Poor,Fair,Yes,One child
52,60.6,8,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Good,Very good,Yes,No child
53,51.9,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Excellent,No,No child
54,61.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
55,47.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,Two children
56,46.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Excellent,No,Two children
57,53.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,Yes,No child
58,68.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
59,45.1,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,Yes,No child
60,51,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Good,No,No child
61,70.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,Yes,No child
62,60.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Excellent,No,No child
63,53.1,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Excellent,No,No child
64,34,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Very good,Very good,No,Three or more children
65,72.4,7,"Rented, even if no cash rent is paid",Other,2,Very good,Good,No,No child
66,80,9,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Good,No,No child
67,65.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
68,61.8,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
69,37,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,One child
70,58.4,6,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Fair,No,No child
71,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
72,42.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,Yes,One child
73,44.3,6,"Rented, even if no cash rent is paid",Other,1,Good,Excellent,No,No child
74,26.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
75,24.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Very good,No,No child
76,41.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Two children
77,26.1,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Very good,No,No child
78,31.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,Yes,One child
79,57.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
80,15.4,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,One child
81,16.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
82,41.7,7,"Owned by you or a member of this household, even if it i...",Other,1,Good,Very good,No,No child
83,24.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,Yes,No child
84,54,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Good,No,No child
85,17.1,8,"Owned by you or a member of this household, even if it i...",Other,5,Good,Good,No,No child
86,63.9,8,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Excellent,No,No child
87,57.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,No child
88,74.8,7,"Rented, even if no cash rent is paid",Other,1,Poor,Very good,No,No child
89,41.1,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,Two children
90,59.9,4,"Owned by you or a member of this household, even if it i...",Other,1,Poor,Fair,No,No child
91,80,NA,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Excellent,No,No child
92,53.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
93,35.2,7,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),1,Fair,Very good,No,No child
94,80,NA,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
95,73.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,No,No child
96,80,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Very good,No,No child
97,72.3,5,"Owned by you or a member of this household, even if it i...",Other,1,Good,Very good,No,No child
98,56.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
99,64.9,0,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Very good,No,No child
100,29.8,7,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Good,Good,No,No child
101,71,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
102,33,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,No,Two children
103,25.3,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,Yes,No child
104,63.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Good,No,No child
105,79,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
106,43.3,6,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,No,One child
107,57.3,4,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
108,45.3,10,"NA",Single detached house,1,Very good,Excellent,No,No child
109,55.8,8,"Rented, even if no cash rent is paid",Single detached house,3,Very good,Very good,No,One child
110,24.2,10,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Very good,Good,No,No child
111,47.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
112,41.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Very good,No,Two children
113,64.3,NA,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Very good,No,No child
114,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
115,29.3,7,"Rented, even if no cash rent is paid",Single detached house,2,Very good,Very good,No,No child
116,79.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
117,59.3,8,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,No child
118,47.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,6,Good,Very good,Yes,Three or more children
119,35.9,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Poor,Poor,No,Three or more children
120,22.5,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Very good,No,No child
121,53.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,No child
122,51.4,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,One child
123,45,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
124,72.1,6,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Fair,Fair,No,No child
125,73,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
126,70.8,9,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,No,No child
127,63.8,8,"Rented, even if no cash rent is paid",Other,1,Fair,Fair,No,No child
128,46.8,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),6,Excellent,Very good,No,Three or more children
129,58.1,2,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Poor,Poor,No,No child
130,36.5,9,"Owned by you or a member of this household, even if it i...",Other,4,Excellent,Very good,No,Two children
131,60.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
132,66.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Excellent,No,No child
133,78.2,NA,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,"NA",Very good,No,No child
134,33.9,9,"Owned by you or a member of this household, even if it i...",Other,4,Very good,Excellent,No,Two children
135,76.6,8,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Very good,Very good,No,No child
136,74.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Good,No,No child
137,70.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Fair,Very good,No,No child
138,27.8,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,Yes,No child
139,80,0,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Fair,Good,No,No child
140,39.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Very good,Yes,Two children
141,30.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
142,69.6,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Excellent,Excellent,No,No child
143,56.3,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Fair,No,No child
144,76.8,8,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Very good,No,No child
145,30.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Very good,No,No child
146,80,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Good,No,No child
147,33.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,One child
148,63.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
149,57,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Good,Yes,No child
150,41.3,7,"Rented, even if no cash rent is paid",Single detached house,3,Good,Good,No,No child
151,18.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,6,Very good,Good,No,Three or more children
152,40.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Good,No,One child
153,48.9,8,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Excellent,Yes,No child
154,65.3,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Very good,No,No child
155,29.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
156,33.1,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,No child
157,25.8,4,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Fair,No,No child
158,39.3,10,"Rented, even if no cash rent is paid",Single detached house,6,Good,Excellent,Yes,Three or more children
159,69.9,10,"Rented, even if no cash rent is paid",Other,1,Good,Excellent,No,No child
160,67.1,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
161,31.8,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Good,No,No child
162,61.1,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Fair,Good,No,No child
163,65.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
164,59,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
165,63.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Very good,No,No child
166,43.9,10,"Owned by you or a member of this household, even if it i...",High-rise apartment (5 or more stories),2,Very good,Excellent,Yes,No child
167,51.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
168,52.9,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
169,40.6,7,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Good,No,One child
170,76.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
171,16.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Very good,No,One child
172,62.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
173,57.2,1,"Rented, even if no cash rent is paid",Single detached house,1,Poor,Very good,No,No child
174,80,10,"Rented, even if no cash rent is paid",Other,1,Good,Good,No,No child
175,69.2,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Poor,Excellent,No,No child
176,64.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
177,70.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
178,73.4,10,"Owned by you or a member of this household, even if it i...",Other,2,Fair,"NA",No,No child
179,80,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
180,67.4,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
181,61.8,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
182,67.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
183,47.3,5,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Good,Good,No,No child
184,52.6,8,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
185,20.3,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),3,Good,Fair,No,No child
186,31.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,Yes,One child
187,78,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Very good,No,No child
188,24.3,10,"Rented, even if no cash rent is paid",Single detached house,1,Very good,Excellent,No,No child
189,50,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,No child
190,63.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
191,62,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
192,36.4,9,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Very good,No,No child
193,63.1,9,"Owned by you or a member of this household, even if it i...",Other,1,Excellent,Good,No,No child
194,68.2,7,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Very good,No,No child
195,53.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,5,Excellent,Excellent,No,One child
196,51.2,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),5,Excellent,Good,No,No child
197,68,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Excellent,No,No child
198,57.5,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
199,51.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Fair,No,No child
200,34.9,NA,"Owned by you or a member of this household, even if it i...",Single detached house,1,Poor,Good,No,No child
201,54.2,8,"NA",Single detached house,2,Very good,Very good,No,No child
202,68,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
203,61.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
204,24.3,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Very good,Very good,No,No child
205,71.6,10,"Rented, even if no cash rent is paid",Single detached house,1,Very good,Excellent,No,No child
206,68.3,7,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
207,59.2,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
208,41.4,6,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,Two children
209,66.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Fair,Fair,No,No child
210,56.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,No child
211,69.3,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Good,No,No child
212,76.6,9,"Owned by you or a member of this household, even if it i...",Other,2,Good,Excellent,No,No child
213,53.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
214,76,10,"Rented, even if no cash rent is paid","NA",1,Very good,Excellent,No,No child
215,33,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
216,30.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,One child
217,53.9,6,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,Yes,No child
218,53.3,8,"Rented, even if no cash rent is paid",Single detached house,2,Very good,Very good,No,No child
219,70.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
220,65.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
221,72.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
222,37,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,One child
223,31.2,9,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,Yes,Two children
224,53.7,10,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Good,No,No child
225,80,5,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Poor,Poor,No,No child
226,61.8,8,"Owned by you or a member of this household, even if it i...",Other,2,Excellent,Excellent,No,No child
227,45.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,5,Good,Very good,No,Two children
228,65.1,4,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
229,52.3,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,Yes,No child
230,32.3,7,"Rented, even if no cash rent is paid",Single detached house,4,Good,Good,No,One child
231,66.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,No,No child
232,65.6,1,"Rented, even if no cash rent is paid",Single detached house,1,Poor,Very good,No,No child
233,63.8,9,"Owned by you or a member of this household, even if it i...",Other,2,Very good,Excellent,No,No child
234,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Very good,No,No child
235,67.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
236,66.8,10,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
237,61.9,9,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),1,Excellent,Excellent,No,No child
238,71.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Fair,No,No child
239,40.4,7,"Owned by you or a member of this household, even if it i...",Single detached house,5,"NA",Good,No,Three or more children
240,26,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
241,57.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Good,No,No child
242,35.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Excellent,Excellent,Yes,No child
243,63.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Very good,No,No child
244,38.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,No child
245,75,5,"Owned by you or a member of this household, even if it i...",Single detached house,1,Good,Good,No,No child
246,63.3,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Poor,Excellent,No,No child
247,65.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
248,19.5,5,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Poor,No,No child
249,72.3,6,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Fair,Fair,No,No child
250,27.8,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Excellent,No,No child
251,45.2,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,Two children
252,62.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
253,28.5,9,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Excellent,Very good,Yes,No child
254,56.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Excellent,Excellent,No,No child
255,58.3,5,"Owned by you or a member of this household, even if it i...",Single detached house,2,Poor,Fair,No,No child
256,60.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Excellent,No,No child
257,66.3,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
258,62.7,NA,"Rented, even if no cash rent is paid",Other,1,Poor,Poor,No,No child
259,32.9,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Excellent,No,One child
260,39.3,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),4,Very good,Very good,Yes,Two children
261,56.5,8,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
262,34.1,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Excellent,No,Two children
263,47.6,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Very good,Very good,No,No child
264,22.4,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Very good,No,No child
265,65.3,2,"Owned by you or a member of this household, even if it i...",Low-rise apartment (less than 5 stories),1,Good,Excellent,No,No child
266,22,10,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Excellent,No,One child
267,49.6,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Very good,Very good,No,No child
268,22.7,5,"Owned by you or a member of this household, even if it i...",Single detached house,4,Good,Good,No,No child
269,65.5,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
270,34.9,7,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),1,Excellent,Good,No,No child
271,50.1,7,"Owned by you or a member of this household, even if it i...",Other,1,Very good,Fair,No,No child
272,37.2,8,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Very good,Very good,No,No child
273,80,9,"Owned by you or a member of this household, even if it i...",Single detached house,2,Good,Good,No,No child
274,61.8,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Good,Good,No,No child
275,59.7,9,"Owned by you or a member of this household, even if it i...",Single detached house,1,Very good,Very good,No,No child
276,41.9,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Very good,Very good,No,No child
277,65.6,1,"Owned by you or a member of this household, even if it i...",Single detached house,3,Poor,Good,No,No child
278,17.3,9,"Owned by you or a member of this household, even if it i...",Single detached house,3,Excellent,Very good,No,No child
279,80,7,"Owned by you or a member of this household, even if it i...",Other,2,Good,Good,No,No child
280,76.8,8,"Rented, even if no cash rent is paid",High-rise apartment (5 or more stories),2,Poor,Good,No,No child
281,35.8,10,"Owned by you or a member of this household, even if it i...",Single detached house,4,Excellent,Excellent,No,Two children
282,66.7,8,"Owned by you or a member of this household, even if it i...",Single detached house,3,Fair,Very good,No,No child
283,26.5,10,"Rented, even if no cash rent is paid",Low-rise apartment (less than 5 stories),2,Fair,Very good,No,One child
